variable,public_auc
X33,0.671
X65,0.671
X217,0.382
X67,0.501
X117,0.405
X91,0.382
X73,0.394
X199,0.613
X295,0.506
X189,0.454
X80,0.483
X194,0.472
X258,0.474
X133,0.486
X226,0.492
X82,0.494
X108,0.459
X16,0.437
X94,0.518
X56,0.495
X228,0.488
X24,0.501
X268,0.479
X39,0.488
X237,0.474
X43,0.474
X134,0.471
X90,0.486
X298,0.466
X165,0.498
X168,0.5
X252,0.5
X127,0.501
X101,0.535
X114,0.479
X17,0.508
X209,0.431
X176,0.525
X239,0.457
X276,0.488
X4,0.516
X30,0.494
X145,0.507
X183,0.506
X63,0.428
X180,0.515
X201,0.489
X227,0.487
X129,0.506
X156,0.47
X272,0.471
X220,0.511
X164,0.542
X9,0.491
X285,0.476
X13,0.492
X15,0.48
X211,0.513
X198,0.482
X214,0.506
X0,0.5
X150,0.482
X230,0.482
X289,0.482
X241,0.494
X45,0.449
X151,0.504
X244,0.509
X26,0.511
X105,0.505
X89,0.528
X221,0.513
X14,0.507
X46,0.501
X292,0.506
X130,0.507
X215,0.513
X249,0.524
X132,0.456
X95,0.48
X52,0.503
X18,0.516
X93,0.464
X69,0.482
X143,0.475
X70,0.439
X288,0.494
X229,0.495
X157,0.493
X160,0.473
X50,0.487
X193,0.498
X58,0.508
X279,0.514
X174,0.511
X170,0.514
X192,0.499
X147,0.522
X148,0.513
X262,0.487
X142,0.518
X187,0.522
X98,0.476
X299,0.506
X246,0.483
X72,0.487
X25,0.498
X259,0.494
X100,0.484
X251,0.489
X171,0.502
X261,0.483
X1,0.484
X53,0.496
X240,0.508
X149,0.477
X264,0.502
X225,0.481
X253,0.517
X281,0.517
X85,0.495
X275,0.511
X62,0.495
X111,0.497
X119,0.487
X42,0.528
X155,0.477
X293,0.487
X179,0.48
X208,0.477
X104,0.522
X99,0.503
X137,0.508
X113,0.504
X235,0.487
X51,0.517
X139,0.462
X206,0.53
X243,0.51
X278,0.484
X271,0.491
X106,0.456
X247,0.484
X84,0.505
X257,0.493
X76,0.493
X116,0.464
X110,0.514
X102,0.494
X283,0.494
X79,0.509
X78,0.512
X163,0.486
X291,0.488
X234,0.488
X266,0.492
X11,0.509
X103,0.475
X5,0.512
X242,0.498
X146,0.479
X60,0.474
X267,0.497
X282,0.485
X280,0.499
X123,0.484
X263,0.502
X222,0.501
X195,0.495
X59,0.492
X47,0.513
X256,0.502
X68,0.514
X204,0.47
X48,0.486
X233,0.503
X182,0.516
X294,0.526
X83,0.48
X159,0.502
X161,0.487
X8,0.499
X112,0.495
X287,0.481
X135,0.484
X55,0.511
X120,0.511
X107,0.476
X186,0.52
X166,0.519
X202,0.497
X245,0.486
X250,0.512
X213,0.517
X144,0.493
X23,0.49
X203,0.501
X290,0.501
X64,0.513
X32,0.502
X36,0.507
X86,0.505
X141,0.495
X216,0.507
X77,0.499
X61,0.479
X297,0.499
X6,0.484
X27,0.497
X21,0.503
X260,0.505
X19,0.492
X177,0.488
X81,0.464
X210,0.493
X219,0.488
X128,0.487
X218,0.49
X54,0.502
X7,0.507
X162,0.514
X270,0.511
X29,0.447
X286,0.51
X284,0.475
X152,0.484
X167,0.508
X200,0.465
X277,0.496
X212,0.522
X138,0.493
X38,0.508
X238,0.492
X184,0.495
X118,0.496
X71,0.523
X197,0.521
X31,0.509
X2,0.508
X22,0.521
X205,0.475
X196,0.515
X87,0.503
X124,0.474
X126,0.504
X140,0.508
X122,0.498
X158,0.486
X131,0.517
X34,0.48
X175,0.483
X125,0.48
X273,0.495
X88,0.519
X153,0.467
X57,0.51
X28,0.512
X185,0.504
X169,0.468
X224,0.488
X37,0.507
X66,0.462
X154,0.512
X296,0.504
X255,0.506
X207,0.484
X20,0.49
X12,0.487
X232,0.507
X97,0.487
X40,0.512
X49,0.473
X178,0.525
X269,0.487
X10,0.52
X223,0.501
X96,0.486
X35,0.481
X115,0.508
X231,0.507
X172,0.497
X265,0.491
X173,0.494
X75,0.499
X188,0.519
X191,0.503
X274,0.486
X109,0.515
X181,0.502
X3,0.5
X74,0.486
X121,0.497
X236,0.489
X44,0.494
X92,0.492
X190,0.496
X136,0.524
X248,0.491
X254,0.516
X41,0.499
